______________________
1L
telomer span: 1-10, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 291-322, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: 41
telomer span: 323-335, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 336-362, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 363-376, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 377-394, length: 18, pattern Start: 138, pattern end: 13, last_jump_size: 7
telomer span: 395-406, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 407-424, length: 18, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 425-438, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 439-455, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 456-486, length: 31, pattern Start: 113, pattern end: 1, last_jump_size: N/A
telomer span: 487-515, length: 29, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 516-530, length: 15, pattern Start: 131, pattern end: 3, last_jump_size: N/A
telomer span: 531-554, length: 24, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 555-564, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 565-594, length: 30, pattern Start: 116, pattern end: 3, last_jump_size: N/A
telomer span: 595-604, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 605-634, length: 30, pattern Start: 114, pattern end: 1, last_jump_size: N/A
telomer span: 635-648, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 649-663, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 664-677, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 678-751, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 752-768, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 769-778, length: 10, pattern Start: 0, pattern end: 9, last_jump_size: N/A
telomer span: 779-789, length: 11, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 790-797, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 798-807, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 808-837, length: 30, pattern Start: 116, pattern end: 3, last_jump_size: N/A
telomer span: 838-850, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 851-858, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 859-886, length: 28, pattern Start: 118, pattern end: 3, last_jump_size: N/A
telomer span: 887-899, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 900-918, length: 19, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 919-932, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 933-963, length: 31, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 964-992, length: 29, pattern Start: 127, pattern end: 13, last_jump_size: N/A
telomer span: 993-1018, length: 26, pattern Start: 118, pattern end: 1, last_jump_size: 37
telomer span: 1019-1060, length: 42, pattern Start: 104, pattern end: 3, last_jump_size: 39
telomer span: 1061-1094, length: 34, pattern Start: 122, pattern end: 13, last_jump_size: 23
telomer span: 1095-1122, length: 28, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1123-1187, length: 65, pattern Start: 91, pattern end: 13, last_jump_size: N/A
telomer span: 1188-1219, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: 41
______________________
7L
telomer span: 1-19, length: 19, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 20-27, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 28-53, length: 26, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 54-72, length: 19, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 73-86, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 87-97, length: 11, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 98-122, length: 25, pattern Start: 121, pattern end: 3, last_jump_size: N/A
telomer span: 123-134, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 135-163, length: 29, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 164-183, length: 20, pattern Start: 126, pattern end: 3, last_jump_size: N/A
telomer span: 184-200, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 201-218, length: 18, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 219-231, length: 13, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 232-262, length: 31, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 263-277, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 278-291, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
______________________
7R
telomer span: 1-19, length: 19, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 20-38, length: 19, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 39-43, length: 5, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
pos: 44: A mutation
telomer span: 45-70, length: 26, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 71-95, length: 25, pattern Start: 131, pattern end: 13, last_jump_size: N/A
telomer span: 96-107, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 108-139, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 140-152, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 153-179, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
______________________
9L
telomer span: 1-8, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 9-15, length: 7, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 16-27, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 28-44, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 45-58, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 59-82, length: 24, pattern Start: 121, pattern end: 2, last_jump_size: N/A
telomer span: 83-95, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 11
telomer span: 96-107, length: 12, pattern Start: 133, pattern end: 2, last_jump_size: 12
telomer span: 108-122, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 123-130, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 131-152, length: 22, pattern Start: 124, pattern end: 3, last_jump_size: N/A
telomer span: 153-165, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 166-192, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 193-206, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 207-280, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 281-292, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 293-324, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 325-337, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 338-359, length: 22, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 360-373, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 374-390, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 391-405, length: 15, pattern Start: 137, pattern end: 9, last_jump_size: N/A
telomer span: 406-480, length: 75, pattern Start: 81, pattern end: 13, last_jump_size: 70
telomer span: 481-497, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 498-514, length: 17, pattern Start: 129, pattern end: 3, last_jump_size: N/A
telomer span: 515-536, length: 22, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 537-550, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 551-584, length: 34, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 585-599, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 600-613, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 614-687, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 688-704, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 705-714, length: 10, pattern Start: 0, pattern end: 9, last_jump_size: N/A
telomer span: 715-773, length: 59, pattern Start: 97, pattern end: 13, last_jump_size: 54
telomer span: 774-790, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 791-807, length: 17, pattern Start: 129, pattern end: 3, last_jump_size: N/A
telomer span: 808-933, length: 126, pattern Start: 82, pattern end: 65, last_jump_size: 63
telomer span: 934-949, length: 16, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 950-964, length: 15, pattern Start: 137, pattern end: 9, last_jump_size: N/A
telomer span: 965-979, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 980-996, length: 17, pattern Start: 129, pattern end: 3, last_jump_size: N/A
telomer span: 997-1070, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 1071-1082, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1083-1114, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 1115-1127, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 1128-1149, length: 22, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1150-1163, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1164-1180, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1181-1199, length: 19, pattern Start: 137, pattern end: 13, last_jump_size: N/A
telomer span: 1200-1211, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1212-1251, length: 40, pattern Start: 104, pattern end: 1, last_jump_size: N/A
telomer span: 1252-1280, length: 29, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1281-1295, length: 15, pattern Start: 131, pattern end: 3, last_jump_size: N/A
telomer span: 1296-1319, length: 24, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1320-1329, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1330-1359, length: 30, pattern Start: 116, pattern end: 3, last_jump_size: N/A
telomer span: 1360-1369, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1370-1399, length: 30, pattern Start: 114, pattern end: 1, last_jump_size: N/A
telomer span: 1400-1413, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1414-1428, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1429-1442, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 1443-1516, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 1517-1533, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1534-1543, length: 10, pattern Start: 0, pattern end: 9, last_jump_size: N/A
telomer span: 1544-1554, length: 11, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1555-1562, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1563-1572, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1573-1602, length: 30, pattern Start: 116, pattern end: 3, last_jump_size: N/A
telomer span: 1603-1615, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 1616-1623, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1624-1651, length: 28, pattern Start: 118, pattern end: 3, last_jump_size: N/A
telomer span: 1652-1664, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 1665-1683, length: 19, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1684-1697, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 1698-1728, length: 31, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1729-1757, length: 29, pattern Start: 127, pattern end: 13, last_jump_size: N/A
telomer span: 1758-1783, length: 26, pattern Start: 118, pattern end: 1, last_jump_size: 37
telomer span: 1784-1825, length: 42, pattern Start: 104, pattern end: 3, last_jump_size: 39
______________________
11R
telomer span: 1-4, length: 4, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 5-38, length: 34, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 39-59, length: 21, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 60-85, length: 26, pattern Start: 118, pattern end: 1, last_jump_size: N/A
telomer span: 86-97, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 98-127, length: 30, pattern Start: 116, pattern end: 3, last_jump_size: N/A
telomer span: 128-137, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 138-167, length: 30, pattern Start: 114, pattern end: 1, last_jump_size: N/A
telomer span: 168-181, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 182-196, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 197-210, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 211-284, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 285-301, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 302-311, length: 10, pattern Start: 0, pattern end: 9, last_jump_size: N/A
telomer span: 312-336, length: 25, pattern Start: 121, pattern end: 3, last_jump_size: 30
telomer span: 337-349, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 350-357, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 358-385, length: 28, pattern Start: 118, pattern end: 3, last_jump_size: N/A
telomer span: 386-398, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
